alpha_A,alpha_Q,w,modelType,logLikelihood,posteriorProb
24.9,11.36,0.22,lit_emp,-324.1464908806078,-6.214608098422191
26.98,11.36,0.21,lit_emp,-323.8630095253585,-6.214608098422191
30.32,11.36,0.16,lit_emp,-323.7953482836224,-6.214608098422191
31.65,10.4,0.11,lit_emp,-328.584347296227,-6.214608098422191
34.76,11.45,0.18,lit_emp,-323.5159438261531,-6.214608098422191
35.08,12.07,0.24,lit_emp,-325.8957416284325,-6.214608098422191
36.55,11.57,0.17,lit_emp,-323.5690069305256,-6.214608098422191
36.64,12.9,0.15,lit_emp,-325.85244060018846,-6.214608098422191
34.83,11.94,0.15,lit_emp,-324.0887818661418,-6.214608098422191
35.01,11.39,0.13,lit_emp,-324.89689795021593,-6.214608098422191
36.42,11.96,0.23,lit_emp,-325.131498893842,-6.214608098422191
37.07,10.61,0.24,lit_emp,-325.5219562434261,-6.214608098422191
38.91,11.24,0.15,lit_emp,-324.17749370067713,-6.214608098422191
37.64,11.17,0.15,lit_emp,-324.2599012602847,-6.214608098422191
35.86,11.31,0.2,lit_emp,-323.6787432283445,-6.214608098422191
32.45,10.85,0.21,lit_emp,-324.26750035138764,-6.214608098422191
33.4,11.53,0.12,lit_emp,-325.38229011482815,-6.214608098422191
35.22,12.27,0.12,lit_emp,-325.6902458008443,-6.214608098422191
39.64,12.44,0.13,lit_emp,-325.43173578301844,-6.214608098422191
39.68,11.52,0.16,lit_emp,-323.7282784158552,-6.214608098422191
39.08,11.78,0.17,lit_emp,-323.6340535581497,-6.214608098422191
36.85,12.19,0.17,lit_emp,-324.0752534600805,-6.214608098422191
36.25,11.06,0.15,lit_emp,-324.4184789997682,-6.214608098422191
35.55,11.52,0.19,lit_emp,-323.54543837066046,-6.214608098422191
37.92,12.26,0.17,lit_emp,-324.18978246479105,-6.214608098422191
36.24,10.93,0.21,lit_emp,-324.15190162274826,-6.214608098422191
33.88,11.76,0.2,lit_emp,-323.81131138219087,-6.214608098422191
36.87,11.66,0.2,lit_emp,-323.7354790834467,-6.214608098422191
37.25,11.66,0.21,lit_emp,-323.9715239310568,-6.214608098422191
37.93,12.39,0.12,lit_emp,-325.86037514512634,-6.214608098422191
39.35,11.83,0.12,lit_emp,-325.3460701989726,-6.214608098422191
38.33,11.13,0.18,lit_emp,-323.7154055814412,-6.214608098422191
39.79,10.96,0.18,lit_emp,-323.9432981237253,-6.214608098422191
38.71,10.96,0.19,lit_emp,-323.91183421252975,-6.214608098422191
39.32,11.68,0.18,lit_emp,-323.54680336115473,-6.214608098422191
36.73,12.63,0.15,lit_emp,-325.16054370139994,-6.214608098422191
35.79,11.1,0.15,lit_emp,-324.356652776364,-6.214608098422191
36.21,11.96,0.22,lit_emp,-324.67897830010884,-6.214608098422191
36.45,11.96,0.19,lit_emp,-323.8553636681299,-6.214608098422191
30.01,11.57,0.16,lit_emp,-323.72152303722976,-6.214608098422191
28.6,11.89,0.16,lit_emp,-323.83148204641753,-6.214608098422191
25.6,11.89,0.18,lit_emp,-323.69433343486196,-6.214608098422191
24.58,11.54,0.19,lit_emp,-323.5486681120116,-6.214608098422191
24.59,11.41,0.16,lit_emp,-323.76684771546167,-6.214608098422191
25.87,12.17,0.16,lit_emp,-324.13358787989523,-6.214608098422191
26.07,11.1,0.13,lit_emp,-325.25381361185646,-6.214608098422191
27.22,10.96,0.21,lit_emp,-324.1137261499605,-6.214608098422191
33.84,11.87,0.18,lit_emp,-323.6755450326849,-6.214608098422191
32.61,12.55,0.18,lit_emp,-324.83522327758254,-6.214608098422191
31.54,11.67,0.19,lit_emp,-323.59547950365715,-6.214608098422191
29.73,11.33,0.13,lit_emp,-324.95110624469316,-6.214608098422191
31.48,11.4,0.13,lit_emp,-324.88883406225244,-6.214608098422191
29.79,11,0.2,lit_emp,-323.917583216075,-6.214608098422191
24.45,11.48,0.22,lit_emp,-324.1770789685472,-6.214608098422191
27.74,12.01,0.16,lit_emp,-323.9382838246298,-6.214608098422191
29.13,11.49,0.13,lit_emp,-324.82857282492444,-6.214608098422191
24.19,12.31,0.18,lit_emp,-324.30757548514674,-6.214608098422191
22.83,10.98,0.17,lit_emp,-324.0324086853763,-6.214608098422191
21.66,11.51,0.2,lit_emp,-323.6705778822763,-6.214608098422191
22.62,10.82,0.13,lit_emp,-325.8356974569716,-6.214608098422191
22.49,11.16,0.15,lit_emp,-324.272838716823,-6.214608098422191
22.8,11.22,0.19,lit_emp,-323.62902326661543,-6.214608098422191
26.31,11.06,0.18,lit_emp,-323.7986552893141,-6.214608098422191
28.23,11.48,0.18,lit_emp,-323.5119485948838,-6.214608098422191
24.45,11.21,0.2,lit_emp,-323.72497893945564,-6.214608098422191
23.78,11.21,0.13,lit_emp,-325.0899688684526,-6.214608098422191
24.27,11.32,0.21,lit_emp,-323.8671621508818,-6.214608098422191
25.57,10.64,0.15,lit_emp,-325.3682225657413,-6.214608098422191
24.36,10.98,0.16,lit_emp,-324.2465566725988,-6.214608098422191
22.66,11.81,0.18,lit_emp,-323.6250995281282,-6.214608098422191
21.86,13.03,0.13,lit_emp,-326.80208096974644,-6.214608098422191
22.12,13.03,0.15,lit_emp,-326.2355015258919,-6.214608098422191
23.35,11.6,0.14,lit_emp,-324.3246326014187,-6.214608098422191
28.68,11.6,0.18,lit_emp,-323.5201901472818,-6.214608098422191
26.43,10.35,0.18,lit_emp,-325.5265351598824,-6.214608098422191
28.83,10.35,0.21,lit_emp,-325.4693652079345,-6.214608098422191
29.53,12.68,0.16,lit_emp,-325.1341885856622,-6.214608098422191
30.13,11.19,0.24,lit_emp,-324.941609978212,-6.214608098422191
30.32,10.94,0.23,lit_emp,-324.67364282967577,-6.214608098422191
32.12,10.88,0.23,lit_emp,-324.7398908063307,-6.214608098422191
29.32,10.88,0.27,lit_emp,-326.7195114555225,-6.214608098422191
30.56,11.3,0.2,lit_emp,-323.68207970993143,-6.214608098422191
32.02,11.99,0.16,lit_emp,-323.9180863205432,-6.214608098422191
33.71,12.06,0.14,lit_emp,-324.5107203696059,-6.214608098422191
33.71,12.26,0.19,lit_emp,-324.33700420571716,-6.214608098422191
34.46,10.88,0.15,lit_emp,-324.7570332870721,-6.214608098422191
34.46,12.79,0.15,lit_emp,-325.55332542163643,-6.214608098422191
32.57,11.63,0.15,lit_emp,-323.9694636502811,-6.214608098422191
31.84,11.63,0.15,lit_emp,-323.96946365028117,-6.214608098422191
29.54,12.71,0.19,lit_emp,-325.43187173742524,-6.214608098422191
25.53,12.16,0.14,lit_emp,-324.61856953484505,-6.214608098422191
23.7,11.11,0.21,lit_emp,-323.96425448700927,-6.214608098422191
27.53,12.43,0.12,lit_emp,-325.92398983155726,-6.214608098422191
28.48,12.24,0.13,lit_emp,-325.1295043164034,-6.214608098422191
26.49,12.33,0.19,lit_emp,-324.4788587770271,-6.214608098422191
24.27,12.22,0.19,lit_emp,-324.26084393050917,-6.214608098422191
23.62,12.17,0.16,lit_emp,-324.1335878795588,-6.214608098422191
24.13,11.74,0.26,lit_emp,-326.55493903687295,-6.214608098422191
25.58,11.54,0.26,lit_emp,-326.2685580007291,-6.214608098422191
28.46,11.48,0.25,lit_emp,-325.57725549382496,-6.214608098422191
30.42,11.68,0.16,lit_emp,-323.7298348639794,-6.214608098422191
30.28,11.05,0.22,lit_emp,-324.25706311334164,-6.214608098422191
31.66,11.11,0.23,lit_emp,-324.5462464599658,-6.214608098422191
34.69,11.33,0.24,lit_emp,-324.95442800943147,-6.214608098422191
37.25,11.18,0.15,lit_emp,-324.2472565303071,-6.214608098422191
33.91,12.37,0.22,lit_emp,-325.5500002414496,-6.214608098422191
36.53,13.07,0.15,lit_emp,-326.3596633690248,-6.214608098422191
36.63,12.02,0.16,lit_emp,-323.948738269649,-6.214608098422191
35.15,12.02,0.12,lit_emp,-325.4390993252621,-6.214608098422191
35.02,11,0.19,lit_emp,-323.85504038877656,-6.214608098422191
29.01,12.42,0.13,lit_emp,-325.3976261533542,-6.214608098422191
28.22,11.21,0.18,lit_emp,-323.6380321220581,-6.214608098422191
31.52,11.98,0.18,lit_emp,-323.79091882246234,-6.214608098422191
28.64,12.07,0.19,lit_emp,-324.00766794056256,-6.214608098422191
31.28,11.29,0.15,lit_emp,-324.127272228204,-6.214608098422191
30.35,11.39,0.26,lit_emp,-326.1235480929655,-6.214608098422191
28.15,11.51,0.17,lit_emp,-323.57161154072213,-6.214608098422191
32.57,12.21,0.14,lit_emp,-324.6810672272537,-6.214608098422191
33.92,10.84,0.14,lit_emp,-325.2664195291209,-6.214608098422191
35.36,11.87,0.16,lit_emp,-323.81707168630084,-6.214608098422191
36.45,13.21,0.16,lit_emp,-326.7269072724957,-6.214608098422191
34.48,10.29,0.14,lit_emp,-327.07709509326577,-6.214608098422191
33.43,10.95,0.2,lit_emp,-323.9831058208754,-6.214608098422191
33.05,12.38,0.18,lit_emp,-324.4486927850187,-6.214608098422191
31.4,11.52,0.16,lit_emp,-323.72827841585524,-6.214608098422191
31.75,11.52,0.11,lit_emp,-326.0721574156614,-6.214608098422191
32.15,12.03,0.13,lit_emp,-324.9081990752408,-6.214608098422191
35.73,10.41,0.21,lit_emp,-325.279509405249,-6.214608098422191
29.94,10.41,0.21,lit_emp,-325.27950940524966,-6.214608098422191
32.31,11.93,0.21,lit_emp,-324.26944590344687,-6.214608098422191
36.9,11.93,0.21,lit_emp,-324.2694459034469,-6.214608098422191
34.81,11.41,0.22,lit_emp,-324.1544080845107,-6.214608098422191
36.42,12.58,0.13,lit_emp,-325.69401150339877,-6.214608098422191
36.64,12.84,0.15,lit_emp,-325.68640009033527,-6.214608098422191
37.63,10.95,0.19,lit_emp,-323.9268049579484,-6.214608098422191
34.04,11.97,0.19,lit_emp,-323.86801878953776,-6.214608098422191
30.48,11.97,0.16,lit_emp,-323.89884129701124,-6.214608098422191
31.87,10.11,0.19,lit_emp,-326.3763500843464,-6.214608098422191
27.5,11.84,0.15,lit_emp,-324.02411416981414,-6.214608098422191
23.42,11.49,0.19,lit_emp,-323.54260997561323,-6.214608098422191
24,11.08,0.17,lit_emp,-323.8827195079626,-6.214608098422191
25.44,11.63,0.14,lit_emp,-324.320539296385,-6.214608098422191
27.98,10.97,0.19,lit_emp,-323.89717317406996,-6.214608098422191
29.61,11.03,0.19,lit_emp,-323.8156665778184,-6.214608098422191
34.77,11.59,0.19,lit_emp,-323.5614075909827,-6.214608098422191
35.91,11.75,0.18,lit_emp,-323.5836381281115,-6.214608098422191
37.58,11.75,0.15,lit_emp,-323.9870140567514,-6.214608098422191
34.51,11.75,0.15,lit_emp,-323.9870140567514,-6.214608098422191
33.64,11.1,0.2,lit_emp,-323.80943953970194,-6.214608098422191
33.75,10.88,0.17,lit_emp,-324.2128792366545,-6.214608098422191
37.29,10.88,0.15,lit_emp,-324.7570332870721,-6.214608098422191
37.37,11.61,0.18,lit_emp,-323.52260293059373,-6.214608098422191
38.58,10.47,0.19,lit_emp,-325.02572255693366,-6.214608098422191
37.08,10.79,0.2,lit_emp,-324.24545495408574,-6.214608098422191
38.55,10.54,0.2,lit_emp,-324.8225601525101,-6.214608098422191
38.52,11.76,0.19,lit_emp,-323.6535808259153,-6.214608098422191
34.75,11.33,0.16,lit_emp,-323.81579259520186,-6.214608098422191
35.89,11.55,0.2,lit_emp,-323.6820519733148,-6.214608098422191
39.9,11.55,0.19,lit_emp,-323.55068419517164,-6.214608098422191
37.93,12.07,0.18,lit_emp,-323.9068771842751,-6.214608098422191
37,11.38,0.16,lit_emp,-323.7831156010831,-6.214608098422191
33.46,11.57,0.16,lit_emp,-323.72152303722964,-6.214608098422191
29.99,11.83,0.19,lit_emp,-323.7129553256983,-6.214608098422191
29.14,11.64,0.19,lit_emp,-323.58074472658063,-6.214608098422191
26.69,10.82,0.15,lit_emp,-324.8923575012894,-6.214608098422191
24.26,11.75,0.15,lit_emp,-323.98701405671386,-6.214608098422191
25.77,10.8,0.18,lit_emp,-324.23945356123494,-6.214608098422191
28.27,10.8,0.22,lit_emp,-324.5572071525225,-6.214608098422191
28.65,11.6,0.15,lit_emp,-323.97089151858904,-6.214608098422191
29.08,11.2,0.2,lit_emp,-323.731189001546,-6.214608098422191
26.01,11.7,0.17,lit_emp,-323.5958869793505,-6.214608098422191
26.55,11.26,0.15,lit_emp,-324.15654760694053,-6.214608098422191
27.96,11.97,0.17,lit_emp,-323.78855834402066,-6.214608098422191
27.1,10.94,0.2,lit_emp,-323.997138962587,-6.214608098422191
28.94,10.94,0.17,lit_emp,-324.10085883330737,-6.214608098422191
33.47,11.65,0.18,lit_emp,-323.5348716850913,-6.214608098422191
32.95,10.15,0.18,lit_emp,-326.32923960734195,-6.214608098422191
36.61,11.52,0.2,lit_emp,-323.6730440172681,-6.214608098422191
34.19,11.69,0.2,lit_emp,-323.7555344406029,-6.214608098422191
33.74,11.4,0.14,lit_emp,-324.41308938356786,-6.214608098422191
33.09,11.4,0.21,lit_emp,-323.86333455297836,-6.214608098422191
37.97,11.82,0.22,lit_emp,-324.4722397985454,-6.214608098422191
33.92,12.14,0.13,lit_emp,-325.0115421310943,-6.214608098422191
36.08,12.14,0.2,lit_emp,-324.3249493554215,-6.214608098422191
37.51,11.8,0.21,lit_emp,-324.1031825096933,-6.214608098422191
39.98,11.9,0.18,lit_emp,-323.70409484589567,-6.214608098422191
36.91,11.9,0.21,lit_emp,-324.22739067096245,-6.214608098422191
36.41,11.58,0.17,lit_emp,-323.56950385946425,-6.214608098422191
38.83,12.69,0.13,lit_emp,-325.9283083402792,-6.214608098422191
38.02,12.69,0.17,lit_emp,-325.1259616057646,-6.214608098422191
36.27,12.47,0.15,lit_emp,-324.81969440331864,-6.214608098422191
36.28,11.96,0.21,lit_emp,-324.3136839298749,-6.214608098422191
38.7,10.84,0.23,lit_emp,-324.7903689743842,-6.214608098422191
37.95,11.96,0.13,lit_emp,-324.8571850775607,-6.214608098422191
35.4,10.62,0.2,lit_emp,-324.6150693505882,-6.214608098422191
35.88,10.62,0.18,lit_emp,-324.671515476572,-6.214608098422191
35.88,11.54,0.22,lit_emp,-324.2071086812704,-6.214608098422191
38.63,10.86,0.22,lit_emp,-324.46725195610554,-6.214608098422191
38.96,12.37,0.2,lit_emp,-324.7993697918706,-6.214608098422191
35.12,11.36,0.17,lit_emp,-323.62080635699965,-6.214608098422191
37.67,10.81,0.21,lit_emp,-324.332922776958,-6.214608098422191
37.66,11.46,0.25,lit_emp,-325.56069294159136,-6.214608098422191
37.45,11.46,0.28,lit_emp,-327.6549885907922,-6.214608098422191
38.82,10.62,0.19,lit_emp,-324.59990552950524,-6.214608098422191
34.08,11.59,0.17,lit_emp,-323.5702650092099,-6.214608098422191
35.08,11.42,0.17,lit_emp,-323.5937182907948,-6.214608098422191
32.92,11.42,0.24,lit_emp,-324.9919609796526,-6.214608098422191
29.32,11.77,0.21,lit_emp,-324.0707770851879,-6.214608098422191
30.46,11.18,0.23,lit_emp,-324.51904751166944,-6.214608098422191
35.84,11.84,0.14,lit_emp,-324.3564618626331,-6.214608098422191
36.58,11.11,0.11,lit_emp,-326.5487758361563,-6.214608098422191
36.57,11.21,0.15,lit_emp,-324.2110712339995,-6.214608098422191
32.87,11.01,0.19,lit_emp,-323.8416102776591,-6.214608098422191
33.39,10.99,0.28,lit_emp,-327.37109483609265,-6.214608098422191
32.67,11.78,0.14,lit_emp,-324.3348407590998,-6.214608098422191
29.37,11.78,0.16,lit_emp,-323.76444361611965,-6.214608098422191
31.64,10.23,0.21,lit_emp,-325.8884561074548,-6.214608098422191
33.1,11.71,0.23,lit_emp,-324.76128103709266,-6.214608098422191
30.81,11.61,0.18,lit_emp,-323.5226029305937,-6.214608098422191
30.84,12.14,0.18,lit_emp,-324.01018509271466,-6.214608098422191
27.16,11.5,0.18,lit_emp,-323.51064214356126,-6.214608098422191
27.11,11.74,0.22,lit_emp,-324.3759341031124,-6.214608098422191
27.25,10.62,0.22,lit_emp,-324.8975291183348,-6.214608098422191
29.68,11.38,0.16,lit_emp,-323.78311560108347,-6.214608098422191
28.24,11.47,0.2,lit_emp,-323.66341403997274,-6.214608098422191
28.85,10.64,0.2,lit_emp,-324.56659547410476,-6.214608098422191
28.88,11.83,0.19,lit_emp,-323.7129553256978,-6.214608098422191
33.63,11.21,0.19,lit_emp,-323.6361934065741,-6.214608098422191
36.19,10.9,0.21,lit_emp,-324.19288723646537,-6.214608098422191
33.43,11.37,0.18,lit_emp,-323.5386715535703,-6.214608098422191
37.37,10.95,0.18,lit_emp,-323.95945200702204,-6.214608098422191
39.61,11.37,0.21,lit_emp,-323.8626727719386,-6.214608098422191
39.63,11.94,0.18,lit_emp,-323.74557431365895,-6.214608098422191
39.13,11.44,0.18,lit_emp,-323.5178211371506,-6.214608098422191
39.24,10.88,0.22,lit_emp,-324.43981866421996,-6.214608098422191
34.26,11.71,0.15,lit_emp,-323.9770666581453,-6.214608098422191
32.79,11.02,0.19,lit_emp,-323.8284859343939,-6.214608098422191
29.44,11.02,0.22,lit_emp,-324.2828459749276,-6.214608098422191
25.76,11.93,0.24,lit_emp,-325.6117687098577,-6.214608098422191
22.55,11.14,0.16,lit_emp,-324.00486733522433,-6.214608098422191
23.58,12.26,0.17,lit_emp,-324.1897824643187,-6.214608098422191
25.51,11.51,0.19,lit_emp,-323.544226064506,-6.214608098422191
25.63,11.76,0.22,lit_emp,-324.3984971814926,-6.214608098422191
23.8,11.76,0.2,lit_emp,-323.81131138200703,-6.214608098422191
24.28,11.76,0.19,lit_emp,-323.6535808258223,-6.214608098422191
23.19,12.02,0.17,lit_emp,-323.8437608734382,-6.214608098422191
29.72,10.6,0.23,lit_emp,-325.2024409108538,-6.214608098422191
28.05,11.24,0.22,lit_emp,-324.15620468323675,-6.214608098422191
